id,name,value,min,max,crop_id,parameter_id
1,CropType,2,,,3,1
2,Tbase,2,,,3,2
3,Tupp,26,,,3,3
4,SeedSize,15,10,20,3,4
5,PlantPop,40000,30000,60000,3,5
6,Emergence,200,150,250,3,6
7,CGC,0.01615,0.017,0.02,3,7
8,CCx,0.92,,,3,8
9,Senescence,984,,,3,9
10,CDC,0.002,,,3,10
11,Maturity,1276,,,3,11
12,MaxRooting,1079,,,3,12
13,,,,,3,13
14,Flowering,0,,,3,14
15,Determinant,0,,,3,15
16,MaxFlowPct,33.33,,,3,16
17,HIstart,550,,,3,17
18,YldForm,700,,,3,18
19,CCmin,0.006,,,3,19
20,Zmin,0.3,,,3,20
21,Zmax,1.5,,1.8,3,21
22,PctZmin,70,,,3,22
23,fshape_r,1.5,,,3,23
24,Kcb,1.1,,,3,24
25,fage,0.15,,,3,25
26,fwcc,60,,,3,26
27,SxTopQ,0.016,,,3,27
28,SxBotQ,0.004,,,3,28
29,a_Tr,1,,,3,29
30,WP,18,18,20,3,30
31,WPy,100,,,3,31
32,fsink,0.5,,,3,32
33,bsted,0.000138,,,3,33
34,bface,0.001165,,,3,34
35,HI0,75,70,85,3,35
36,HIini,0.01,,,3,36
37,dHI_pre,2,,,3,37
38,exc,,,,3,38
39,a_HI,,,,3,39
40,b_HI,10,,,3,40
41,dHI0,5,,,3,41
42,p_up1,0.2,,,3,42
43,p_lo1,0.6,,,3,43
44,fshape_w1,3,,,3,44
45,p_up2,0.55,,,3,45
46,p_lo2,1,,,3,46
47,fshape_w2,3,,,3,47
48,p_up3,0.7,,,3,48
49,p_lo3,1,,,3,49
50,beta,12,,,3,50
51,fshape_w3,3,,,3,51
52,,,,,3,52
53,p_up4,,,,3,53
54,p_lo4,,,,3,54
55,fshape_w4,,,,3,55
56,Aer,5,,,3,56
57,LagAer,3,,,3,57
58,fshape_ex,-6,,,3,58
59,ETadj,1,,,3,59
60,GermThr,0.2,,,3,60
61,PolHeatStress,0,,,3,61
62,PolColdStress,0,,,3,62
63,Tmin_up,,,,3,63
64,Tmin_lo,,,,3,64
65,Tmax_up,,,,3,65
66,Tmax_lo,,,,3,66
67,BioTempStress,1,,,3,67
68,GDD_up,7,5,9,3,68
69,GDD_lo,0,,,3,69
70,fshape_b,13.8135,,,3,70
71,Ece_n,1.7,,,3,71
72,Ece_x,10,,,3,72
